PTIME,speed_kmh,accel_long,accel_lat,throttle_pct,steering_deg,engine_rpm,brake_active,abs_esc_active,CASEID,VEHNO,crash_class,CRASHTYPE,DVTOTAL,DVLONG,DVLAT,SURFCOND,LIGHTCOND,WEATHER,MODELYR,source_year,event_id,source,is_crash
-2.0,112.056,17.999999999999996,0.0,0.0,,,1920.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-1.9,117.81570680590862,17.708803847475092,0.0,0.00512813466162831,,,1920.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-1.8,122.35906950738578,17.19000480934387,0.0,0.01041016832703538,,,1920.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-1.7,123.82937880590862,16.716803847475095,0.0,0.013128134661628309,,,1920.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-1.6,120.36992540295431,16.56240192373755,0.0,0.010564067330814154,,,1920.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-1.5,110.124,17.0,0.0,0.0,,,1856.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-1.4,92.0979935582274,18.233758845757478,0.0,-0.01913844039848852,,,1856.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-1.3,68.75069807763654,20.19167846100996,0.0,-0.03885125386465132,,,1856.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-1.2,43.404005817931946,22.732718653383717,0.0,-0.04899484713156993,,,1856.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-1.1,19.37980903881828,25.715839230504987,0.0,-0.03942562693232571,,,1856.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-1.0,-1.7763568394002505e-15,29.0,0.0,0.0,,,0.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-0.9,-11.413529038818272,32.44416076949502,0.0,0.07942562693232566,,,0.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-0.8,-11.538885817931977,35.90728134661628,0.0,0.2089948471315698,,,0.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-0.7,2.9458219223634643,39.24832153899004,0.0,0.3988512538646515,,,0.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
-0.6,35.36248644177262,42.32624115424253,0.0,0.6591384403984886,,,0.0,,20341,1,1.0,8.0,999.0,999.0,999.0,1.0,2.0,1.0,2019,2021,CISS_2021_20341_V1,CISS,True
