CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,PCODE,PTIME,PVALUE,CASEWGT,PSUSTRAT,VERSION
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-4.7000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-4.7000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-4.7000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-4.7000,1328.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-4.7000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-4.7000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-4.7000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-4.6000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-4.6000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-4.6000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-4.6000,1324.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-4.6000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-4.6000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-4.6000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-4.5000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-4.5000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-4.5000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-4.5000,1309.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-4.5000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-4.5000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-4.5000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-4.4000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-4.4000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-4.4000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-4.4000,1327.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-4.4000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-4.4000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-4.4000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-4.3000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-4.3000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-4.3000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-4.3000,1309.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1060,-4.3000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1070,-4.3000,1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1080,-4.3000,-1.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1030,-4.2000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1020,-4.2000,99996.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1040,-4.2000,0.0000,353.331729164077,9,4
14494,12,47,1-12-2019-047-01,1,1,1,1,1050,-4.2000,1314.0000,353.331729164077,9,4
