CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
2402065,79,43,1-79-2024-043-10,10,1,887,887,887,887,887,887,887,887,887,887,999,887,135,999,999,887,887,887,887,887,887,887,887,887,887,887,174.035213758045,8,9
2402101,27,66,1-27-2024-066-06,6,1,887,887,271,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,13,21,111,887,887,887,887,887,22.8219831356438,3,9
2402101,27,66,1-27-2024-066-06,6,2,887,887,887,887,887,887,887,887,887,887,44,887,130,999,999,887,887,887,887,887,887,887,887,887,887,887,22.8219831356438,3,9
2402102,27,67,1-27-2024-067-10,10,1,887,887,887,887,887,887,887,887,887,887,28,887,107,999,999,887,887,887,887,887,887,887,887,887,887,887,891.037552958284,3,9
2402090,16,59,1-16-2024-059-NM1,21,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,19.3635256654646,5,9
2402090,16,59,1-16-2024-059-NM1,21,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,19.3635256654646,5,9
2402064,79,42,1-79-2024-042-09,9,1,887,887,315,887,887,887,887,315,887,887,999,887,139,999,999,887,887,887,999,887,887,887,887,887,887,887,117.957752270952,8,9
2402079,11,52,1-11-2024-052-03,3,1,887,887,297,887,887,887,887,887,887,887,887,887,138,887,887,887,887,141,13,15,109,887,35,90,887,887,212.616287924737,8,9
2402079,11,52,1-11-2024-052-03,3,2,887,887,887,887,887,887,887,887,887,887,38,887,118,887,887,44,887,887,8,28,111,999,33,82,887,887,212.616287924737,8,9
2402100,27,65,1-27-2024-065-04,4,1,887,887,887,887,887,887,887,887,887,887,21,887,134,999,999,887,887,887,887,887,887,887,887,887,887,887,41.9395991935004,3,9
2402112,15,84,1-15-2024-084-04,4,2,999,999,999,887,999,999,999,999,999,999,999,999,117,999,999,887,887,887,887,887,887,887,887,887,887,887,60.6794590064128,1,9
2402110,15,82,1-15-2024-082-05,5,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,887,887,887,887,887,887,887,887,887,887,887,12.7957875926179,1,9
2402109,15,81,1-15-2024-081-03,3,1,887,887,887,887,887,887,887,887,887,887,42,887,125,887,887,887,887,887,887,887,887,887,887,887,887,887,15.9642153816097,1,9
2402113,22,62,1-22-2024-062-08,8,1,887,887,359,887,887,887,887,359,887,887,887,887,131,72,68,887,887,887,887,887,887,999,46,86,293,184,28.3215946385297,12,9
2402096,32,74,1-32-2024-074-05,5,1,887,887,300,887,887,887,887,300,887,887,887,887,887,887,887,887,887,887,12,10,999,887,887,887,887,887,34.8659199592484,7,9
2402096,32,74,1-32-2024-074-05,5,2,887,887,887,887,887,887,887,887,887,887,42,887,128,999,999,55,887,887,887,887,125,887,36,85,887,887,34.8659199592484,7,9
2402115,27,69,1-27-2024-069-07,7,1,887,887,887,887,887,887,887,887,887,887,47,887,132,999,999,887,887,887,887,887,887,887,887,887,887,887,103.214055110448,3,9
2402878,82,71,1-82-2024-071-04,4,2,887,887,887,887,887,887,887,887,887,887,999,999,124,887,887,999,999,158,999,999,112,999,37,88,887,887,406.439017898255,1,9
2402897,21,59,1-21-2024-059-04,4,1,887,887,887,887,887,887,887,256,887,887,999,887,106,70,60,887,887,144,887,887,105,887,37,88,887,887,924.169152788539,11,9
