CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCLASS,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
2401115,66,22,1-66-2024-022-06,6,1,2,1,2,270,9,0,0,999,09LBEW01,L,B,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,2,"Begins 3cm rear of rear axle, extending rearward",Unknown,44 aft left rear axle,999,999,999,999,104,999,999,999,999,999,999,999,,,124.972344097308,6,9
2400886,16,27,1-16-2024-027-05,5,2,3,2,31,998,0,0,0,888,00RDAO03,R,D,A,O,03,8,8,8,8,888,888,888,6,999,999,999,9999999,999,999,999,8,8,Not measured,Not Measured,Right C-Pillar,777,777,777,777,777,,,,,,,,51,39,21.4662920187919,5,9
2400617,16,19,1-16-2024-019-06,6,1,1,1,2,0,12,0,0,45,12FZEW01,F,Z,E,W,01,8,8,8,8,888,888,888,1,17,-17,0,16926,998,25,16,0,1,"Begins 18cm left of center point, extending right","Begins 74cm left of center point, extending right",71 cm right of center,148,0,150,25,87,13,0,0,9,5,0,13,,,1006.3508458628,5,9
2400110,16,2,1-16-2024-002-02,2,3,2,1,2,320,11,0,0,155,11LPAW02,L,P,A,W,02,0,1,0,0,48,74,4,3,7,-6,5,5389,998,-91,8,0,1,"Begins 64cm rear of front axle, extending rearward","Begins 64cm rear of front axle, extending rearward",16 cm forward of center,170,-16,170,-27,192,4,0,1,1,4,3,0,,,15.1092509057653,5,9
2401051,27,32,1-27-2024-032-06,6,1,1,3,42,340,11,0,0,888,11FLEE03,F,L,E,E,03,8,8,8,8,888,888,888,1,38,-36,13,91562,998,5,38,0,1,"Begins 47cm left of center point, extending left","Begins 63cm left of center point, extending right",55 cm left of center,126,0,158,-63,32,49,49,32,23,15,6,10,,,50.9387159232509,3,9
2401055,21,25,1-21-2024-025-08,8,1,1,4,88,10,12,0,0,888,12FREN01,F,R,E,N,01,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,6,2,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,78.3803996099035,11,9
2401055,21,25,1-21-2024-025-08,8,1,2,3,42,20,1,0,0,888,01FDEW04,F,D,E,W,04,8,8,8,8,888,888,888,1,96,-90,-33,535405,998,-61,96,0,1,"Begins 46cm left of center point, extending right","Begins 40cm left of center point, extending right",23 cm right of center,80,0,134,-9,74,93,55,91,93,88,92,80,,,78.3803996099035,11,9
2401091,81,23,1-81-2024-023-04,4,1,1,1,2,350,12,0,0,190,12FZEW02,F,Z,E,W,02,8,8,8,8,888,888,888,1,19,-18,3,38081,998,56,24,0,1,"Begins 20cm left of center point, extending right","Begins 63cm left of center point, extending right",56 cm right of center,127,0,146,26,93,32,0,3,12,21,32,10,,,2096.4964888712,8,9
2401091,81,23,1-81-2024-023-04,4,2,1,1,1,60,2,0,0,300,02RZEW01,R,Z,E,W,01,8,8,8,8,888,888,888,1,13,-6,-11,8115,998,141,7,0,1,"Begins 213cm rear of front axle, extending rearward","Begins 213cm rear of front axle, extending rearward",99 cm rearward of center,162,-142,162,-91,61,7,0,0,6,3,7,5,,,2096.4964888712,8,9
2400310,67,4,1-67-2024-004-05,5,2,1,1,1,10,12,0,0,190,12FDEW01,F,D,E,W,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,1,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,96.9891704382482,7,9
