CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,AGE,HEIGHT,WEIGHT,SEX,FETALMORT,ROLE,RACE,ETHNICITY,EYEWEAR,PARBELTUSE,PARAIRBAG,PARINJSEV,CASEWGT,PSUSTRAT,VERSION
2402638,82,63,1-82-2024-063-NM2,22,1,1,54,999,999,1,8,1,9,9,9,3,2,0,317.115950685831,1,9
2402306,30,80,1-30-2024-080-NM2,22,1,1,999,999,999,9,8,1,9,9,9,9,7,9,2370.57424915505,10,9
2402888,15,114,1-15-2024-114-NM2,22,1,1,61,999,999,2,8,1,9,9,9,3,7,0,35.5740146987417,1,9
2400048,60,1,1-60-2024-001-NM2,22,1,1,26,180,86,1,8,1,1,1,0,3,2,0,157.912873387776,8,9
2400079,59,5,1-59-2024-005-NM2,22,1,1,17,157,54,2,8,1,1,2,0,3,7,0,326.257763636632,6,9
2400112,28,2,1-28-2024-002-NM2,22,1,1,53,177,104,1,8,1,1,2,9,8,7,3,55.8454658150129,3,9
2400111,16,3,1-16-2024-003-NM2,22,1,1,88,191,107,1,8,1,1,2,1,3,2,0,1277.06637139415,5,9
2400248,22,4,1-22-2024-004-NM2,22,1,1,82,155,51,2,8,1,1,2,0,8,2,0,105.99041920132,12,9
2400447,67,5,1-67-2024-005-NM2,22,1,1,44,160,70,2,8,1,1,1,0,3,2,0,483.798087598719,7,9
2400470,30,16,1-30-2024-016-NM2,22,1,1,38,999,999,1,8,1,9,9,0,3,7,0,614.931666902505,10,9
2400448,82,13,1-82-2024-013-NM2,22,1,1,47,999,999,1,8,1,1,1,9,3,2,0,387.535062825824,1,9
2400518,26,10,1-26-2024-010-NM2,22,1,1,999,999,999,9,8,1,9,9,9,9,7,9,585.861766834301,10,9
2400514,15,18,1-15-2024-018-NM2,22,1,1,68,999,999,1,8,1,9,9,9,3,2,0,48.0070740321826,1,9
2400611,24,13,1-24-2024-013-NM2,22,1,1,38,999,999,1,8,1,9,9,9,9,2,0,147.143075961834,1,9
2400652,22,18,1-22-2024-018-NM2,22,1,1,17,999,999,2,8,1,9,9,9,3,2,0,29.4805146666259,12,9
2400662,26,13,1-26-2024-013-NM2,22,1,1,75,178,95,1,8,1,3,2,1,3,2,0,1176.30815772609,10,9
2400693,77,22,1-77-2024-022-NM2,22,1,1,43,152,77,1,8,1,1,2,3,3,2,0,426.24158292944,9,9
2400684,59,25,1-59-2024-025-NM2,22,1,1,60,152,50,2,8,1,1,2,3,9,7,9,264.2527724963,6,9
2400830,77,27,1-77-2024-027-NM2,22,1,1,54,999,999,2,8,1,9,9,9,3,2,0,330.223105550016,9,9
2400831,77,28,1-77-2024-028-NM2,22,1,1,44,999,999,1,8,1,9,9,9,3,2,0,330.223105550016,9,9
2400846,82,22,1-82-2024-022-NM2,22,1,1,20,175,59,1,8,1,2,2,0,3,2,0,774.715121583303,1,9
2400884,14,13,1-14-2024-013-NM2,22,1,1,40,999,999,1,8,1,9,1,9,3,2,0,678.185114701579,8,9
2400847,82,23,1-82-2024-023-NM2,22,1,1,51,999,999,2,8,1,9,9,9,3,2,0,774.715121490359,1,9
2401027,16,33,1-16-2024-033-NM2,22,1,1,72,211,104,1,8,1,2,2,1,8,2,0,439.019791611487,5,9
2401084,77,37,1-77-2024-037-NM2,22,1,1,47,999,999,1,8,1,9,9,9,3,2,0,297.636915073691,9,9
2401085,77,38,1-77-2024-038-NM2,22,1,1,78,999,999,1,8,1,9,9,9,3,2,0,297.636915073691,9,9
2401143,30,39,1-30-2024-039-NM2,22,1,1,31,999,999,2,8,1,9,9,9,3,7,9,269.894765505706,10,9
2401183,22,34,1-22-2024-034-NM2,22,1,1,37,180,84,1,8,1,1,2,0,8,2,0,24.4305122731702,12,9
2401198,13,30,1-13-2024-030-NM2,22,1,1,76,170,73,1,8,1,1,2,0,3,2,0,1161.47481366351,7,9
2401206,31,25,1-31-2024-025-NM2,22,1,1,20,157,66,1,8,1,1,2,0,8,2,0,197.377933176122,6,9
2401286,52,17,1-52-2024-017-NM2,22,1,1,23,999,999,2,8,1,9,9,9,3,2,0,35.2372312111538,12,9
2401324,66,26,1-66-2024-026-NM2,22,1,1,45,183,107,1,8,1,1,2,0,8,2,0,110.074249285118,6,9
2401339,59,43,1-59-2024-043-NM2,22,1,1,22,183,88,1,8,1,7,2,0,9,7,0,260.431399312795,6,9
2401353,10,20,1-10-2024-020-NM2,22,1,1,42,999,999,1,8,1,1,2,9,3,2,0,1035.08583897877,4,9
