CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTACTAREA,CONTCOMP,NMNO,LONGLOC,LATLOC,CRUSH,BOTTOMOUT,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
2404886,22,148,1-22-2024-148-NM2,22,1,B,1,702,1,98,999,888,0,999,2,3,35.1496027167127,12,9
2404886,22,148,1-22-2024-148-NM2,22,1,C,1,706,1,107,999,888,0,999,2,2,35.1496027167127,12,9
2404886,22,148,1-22-2024-148-NM2,22,1,D,1,703,1,122,999,0,0,999,2,2,35.1496027167127,12,9
2404886,22,148,1-22-2024-148-NM2,22,1,E,1,703,1,122,999,1,0,999,5,2,35.1496027167127,12,9
2404886,22,148,1-22-2024-148-NM2,22,1,F,2,738,1,999,999,999,0,999,3,2,35.1496027167127,12,9
2404886,22,148,1-22-2024-148-NM2,22,1,G,2,720,1,999,999,3,0,999,5,2,35.1496027167127,12,9
2404886,22,148,1-22-2024-148-NM2,22,1,H,2,720,1,999,999,0,0,999,9,2,35.1496027167127,12,9
2404886,22,148,1-22-2024-148-NM2,22,1,I,2,730,1,888,888,0,0,999,9,2,35.1496027167127,12,9
2404886,22,148,1-22-2024-148-NM2,22,1,J,10,61,1,888,888,888,8,999,98,1,35.1496027167127,12,9
2405007,30,171,1-30-2024-171-NM2,22,1,A,10,61,1,888,888,888,8,742,98,2,699.896518115335,10,9
2405987,15,233,1-15-2024-233-NM2,22,1,A,10,61,1,888,888,888,8,996,98,1,32.4789185953742,1,9
2406391,22,194,1-22-2024-194-NM1,21,1,A,1,700,1,60,-29,0,0,831,2,2,23.3960835753343,12,9
2406391,22,194,1-22-2024-194-NM1,21,1,B,5,770,1,92,33,4,1,811,1,2,23.3960835753343,12,9
2406391,22,194,1-22-2024-194-NM1,21,1,C,5,770,1,113,-29,5,0,501,1,2,23.3960835753343,12,9
2406391,22,194,1-22-2024-194-NM1,21,1,D,5,770,1,148,-19,3,0,711,1,2,23.3960835753343,12,9
2406391,22,194,1-22-2024-194-NM1,21,1,E,6,775,1,999,999,999,0,101,2,1,23.3960835753343,12,9
2406347,32,163,1-32-2024-163-NM1,21,1,A,5,770,1,94,-25,2,0,819,1,1,47.5537279263516,7,9
2402620,31,52,1-31-2024-052-NM2,22,1,E,1,701,1,30,25,999,0,859,3,2,197.377933176122,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,C,1,702,1,74,9,2,0,822,1,1,110.074249285118,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,D,1,702,1,74,-9,2,0,821,1,1,110.074249285118,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,E,5,770,1,95,23,3,0,742,1,1,110.074249285118,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,F,5,770,1,95,-23,3,0,741,1,1,110.074249285118,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,G,5,770,1,107,0,4,0,601,1,1,110.074249285118,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,H,5,770,1,127,0,4,0,101,1,1,110.074249285118,6,9
2401324,66,26,1-66-2024-026-NM2,22,1,I,6,775,1,999,999,999,0,601,2,1,110.074249285118,6,9
