CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
2401120,33,17,1-33-2024-017-07,7,1,284,469,181,1625,158,79,106,156,4,2.0,2,1,0,0,55,616.947043508982,12,9
2401996,33,33,1-33-2024-033-03,3,1,266,459,185,1502,161,91,101,999,4,2.4,2,1,9,0,58,185.717209095167,12,9
2405946,16,128,1-16-2024-128-02,2,1,278,490,186,1627,158,102,112,160,6,3.5,2,1,0,0,61,28.4733610013342,5,9
2401555,16,45,1-16-2024-045-03,3,2,270,449,175,1224,150,87,93,150,4,1.8,2,1,0,0,60,256.821744116867,5,9
2401555,16,45,1-16-2024-045-03,3,3,265,436,183,1327,154,90,82,999,4,2.0,2,1,0,0,60,256.821744116867,5,9
2401025,16,31,1-16-2024-031-05,5,1,280,493,185,1523,157,100,114,999,4,2.3,2,1,9,0,61,17.5468318569652,5,9
2401025,16,31,1-16-2024-031-05,5,2,282,483,191,1940,162,104,99,160,6,3.6,2,1,0,0,59,17.5468318569652,5,9
2402473,16,71,1-16-2024-071-08,8,1,333,533,182,1755,156,87,113,154,6,3.7,2,2,0,1,58,141.159951518595,5,9
2401969,16,57,1-16-2024-057-07,7,5,273,455,190,1313,157,93,89,999,4,2.0,2,1,9,0,61,2285.67073751597,5,9
2401434,16,41,1-16-2024-041-03,3,1,271,459,188,1496,158,96,92,154,3,1.5,2,1,0,0,59,209.342329809814,5,9
2401434,16,41,1-16-2024-041-03,3,2,269,472,181,1350,154,91,112,150,4,1.4,2,1,0,0,59,209.342329809814,5,9
2400887,16,28,1-16-2024-028-04,4,1,275,477,190,1830,164,101,102,168,4,2.0,2,4,0,0,57,724.275671728201,5,9
2400887,16,28,1-16-2024-028-04,4,2,277,468,185,1620,156,84,107,999,4,2.0,2,9,0,1,51,724.275671728201,5,9
2401969,16,57,1-16-2024-057-07,7,1,999,999,999,9999,999,999,999,999,99,99.0,9,9,9,0,99,2285.67073751597,5,9
2401969,16,57,1-16-2024-057-07,7,2,270,463,184,1550,160,93,100,999,4,2.0,2,1,9,0,57,2285.67073751597,5,9
2401969,16,57,1-16-2024-057-07,7,3,285,487,185,1558,159,94,110,999,4,1.5,2,1,0,0,59,2285.67073751597,5,9
2401969,16,57,1-16-2024-057-07,7,4,270,463,188,1244,156,89,104,158,4,2.0,2,1,0,0,61,2285.67073751597,5,9
2402542,16,78,1-16-2024-078-NM1,21,1,308,514,200,2050,166,96,111,162,6,3.6,2,1,0,0,56,21.9314980825962,5,9
2401809,16,53,1-16-2024-053-03,3,2,324,539,190,2007,161,93,121,164,6,3.5,2,3,0,0,58,144.969974195399,5,9
2401159,16,36,1-16-2024-036-09,9,3,285,475,177,1750,153,82,110,160,6,3.7,2,2,0,0,55,1267.79203502257,5,9
2402264,16,66,1-16-2024-066-06,6,1,261,445,172,1189,147,90,95,150,4,2.0,2,1,0,0,61,643.878867462447,5,9
2402264,16,66,1-16-2024-066-06,6,2,253,440,174,1245,151,89,98,144,4,1.4,2,1,0,0,62,643.878867462447,5,9
