CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
2400024,62,1,1-62-2024-001-06,6,1,5,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,6,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,7,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,8,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,9,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,63.0744733826381,7,9
2400024,62,1,1-62-2024-001-06,6,1,10,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,63.0744733826381,7,9
2400025,62,2,1-62-2024-002-10,10,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,1646.87203897318,7,9
2400025,62,2,1-62-2024-002-10,10,1,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,1646.87203897318,7,9
2400025,62,2,1-62-2024-002-10,10,1,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,1646.87203897318,7,9
2400025,62,2,1-62-2024-002-10,10,1,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,1646.87203897318,7,9
2400025,62,2,1-62-2024-002-10,10,1,5,5,1,99,1,0,1,0,0,50,,,,,,,,,,,,,1646.87203897318,7,9
2400025,62,2,1-62-2024-002-10,10,1,6,8,1,99,1,0,1,0,0,50,,,,,,,,,,,,,1646.87203897318,7,9
2400026,62,3,1-62-2024-003-08,8,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,20.8454543525906,7,9
2400026,62,3,1-62-2024-003-08,8,1,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,20.8454543525906,7,9
2400026,62,3,1-62-2024-003-08,8,1,3,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,20.8454543525906,7,9
2400026,62,3,1-62-2024-003-08,8,1,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,20.8454543525906,7,9
2400026,62,3,1-62-2024-003-08,8,1,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,20.8454543525906,7,9
2400026,62,3,1-62-2024-003-08,8,1,6,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,20.8454543525906,7,9
2400029,48,1,1-48-2024-001-06,6,1,1,8,1,99,1,0,1,0,97,97,9,9,2,999,999,999,9999999,999,999,6,1,1,177.148845745167,12,9
2400029,48,1,1-48-2024-001-06,6,1,2,8,1,99,1,0,1,0,97,97,,,,,,,,,,,,,177.148845745167,12,9
2400029,48,1,1-48-2024-001-06,6,1,3,5,1,99,1,0,1,0,0,50,9,9,2,999,999,999,9999999,999,999,6,1,1,177.148845745167,12,9
2400029,48,1,1-48-2024-001-06,6,1,4,5,1,99,1,0,1,0,0,50,,,,,,,,,,,,,177.148845745167,12,9
2400029,48,1,1-48-2024-001-06,6,1,5,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,177.148845745167,12,9
2400029,48,1,1-48-2024-001-06,6,1,6,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,177.148845745167,12,9
2400029,48,1,1-48-2024-001-06,6,1,7,4,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,177.148845745167,12,9
2400029,48,1,1-48-2024-001-06,6,1,8,4,1,99,7,0,60,60,60,60,,,,,,,,,,,,,177.148845745167,12,9
2400030,48,2,1-48-2024-002-04,4,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,202.369493090601,12,9
2400030,48,2,1-48-2024-002-04,4,1,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,202.369493090601,12,9
2400030,48,2,1-48-2024-002-04,4,1,3,8,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,999,6,1,1,202.369493090601,12,9
2400030,48,2,1-48-2024-002-04,4,1,4,2,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,202.369493090601,12,9
2400030,48,2,1-48-2024-002-04,4,1,5,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,202.369493090601,12,9
2400030,48,2,1-48-2024-002-04,4,1,6,8,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,999,6,1,1,202.369493090601,12,9
