CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
2400573,13,12,1-13-2024-012-05,5,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,11066,51.7064900609408,7,9
2400572,13,11,1-13-2024-011-03,3,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5963,435.984145595408,7,9
2400557,62,16,1-62-2024-016-04,4,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,16033,2472.48073760357,7,9
2400559,62,18,1-62-2024-018-03,3,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,1720,666.028503256452,7,9
2400574,13,13,1-13-2024-013-NM1,21,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.634,1,618,16.3827604184312,7,9
2400557,62,16,1-62-2024-016-04,4,2,1,7,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,1810,2472.48073760357,7,9
2403710,60,45,1-60-2024-045-06,6,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,15417,415.191984429728,8,9
2403718,16,105,1-16-2024-105-03,3,3,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,9062,454.252099899615,5,9
2403712,60,47,1-60-2024-047-10,10,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,19308,10692.6304351397,8,9
2403722,28,114,1-28-2024-114-07,7,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,17781,44.330330715033,3,9
2403700,69,80,1-69-2024-080-01,1,1,1,3,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6975,12.402162466744,8,9
2403700,69,80,1-69-2024-080-01,1,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,12892,12.402162466744,8,9
2403723,14,63,1-14-2024-063-03,3,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,5084,407.413518981047,8,9
2403726,32,124,1-32-2024-124-07,7,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,11905,16039.8860823842,7,9
2403724,14,64,1-14-2024-064-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,20405,1509.17913203935,8,9
2403725,14,65,1-14-2024-065-03,3,1,1,5,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,3818,407.413518981047,8,9
2403730,31,75,1-31-2024-075-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6103,308.176861795721,6,9
2403725,14,65,1-14-2024-065-03,3,2,1,1,E-N-K-01-00-0058,EDR001-R01,1,4578,407.413518981047,8,9
2403728,31,73,1-31-2024-073-06,6,1,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,12604,308.176861795721,6,9
2403727,52,39,1-52-2024-039-04,4,2,1,0,V24.19.0,V24.22.1,1,4518,275.049511587146,12,9
2403742,30,133,1-30-2024-133-01,1,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,76.3965079085296,10,9
2403742,30,133,1-30-2024-133-01,1,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,6590,76.3965079085296,10,9
2403744,30,131,1-30-2024-131-04,4,1,1,1,E-N-K-01-00-0058,EDR001-R01,1,5697,2001.8166210988,10,9
2403744,30,131,1-30-2024-131-04,4,2,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,11498,2001.8166210988,10,9
2403739,79,79,1-79-2024-079-10,10,1,1,2,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,999997,174.035213758045,8,9
2403736,18,101,1-18-2024-101-06,6,2,1,1,Crash Data Retrieval Tool 23.4,Crash Data Retrieval Tool 24.3.648,1,9576,169.783135227191,6,9
2403750,15,150,1-15-2024-150-06,6,1,1,2,Crash Data Retrieval Tool 24.1.197,Crash Data Retrieval Tool 24.3.648,1,10452,63.3697750534753,1,9
