CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
2403612,28,110,1-28-2024-110-03,3,1,1,1,1,9995.00,9995.00,7,8,8888.00,8888.00,8888.00,9997.00,9997.00,0,7,7,0,8888.00,8888.00,7,8,8888.00,8888.00,8888.00,9997.00,9997.00,0,0,7,28.3089754479373,3,9
2402771,29,22,1-29-2024-022-06,6,2,1,3,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,1,7,7,0,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,4,7,522.262401568166,2,9
2403579,30,129,1-30-2024-129-03,3,2,1,1,1,26.00,56.00,7,8,9995.00,9995.00,26.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9997.00,26.00,9997.00,9997.00,7,5,7,205.548230199915,10,9
2403159,15,124,1-15-2024-124-09,9,2,1,1,1,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,4,7,92.0517828779891,1,9
2403180,48,104,1-48-2024-104-06,6,1,1,1,1,9995.00,9995.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,0,7,7,1,9995.00,9995.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,3,7,86.4307074675267,12,9
2404683,48,150,1-48-2024-150-03,3,2,1,1,1,18.00,52.00,7,8,8888.00,12.00,12.00,9997.00,27.00,0,7,7,1,12.00,22.00,7,8,8888.00,12.00,12.00,9997.00,8888.00,0,3,7,115.82905818263,12,9
2402154,54,51,1-54-2024-051-04,4,1,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,0,7,152.997399597271,9,9
2405821,27,178,1-27-2024-178-03,3,2,1,1,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,1,7,7,0,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,4,7,11.8514312322575,3,9
2405581,28,173,1-28-2024-173-06,6,1,1,1,1,44.00,84.00,7,0,0.00,0.00,29.00,29.00,9997.00,0,7,7,0,0.00,0.00,1,0,0.00,0.00,0.00,0.00,9997.00,7,7,7,98.5193806395811,3,9
2405838,28,178,1-28-2024-178-04,4,1,1,1,1,10.00,13.00,7,8,8888.00,8888.00,10.00,9997.00,8888.00,8,7,7,0,8888.00,8888.00,7,8,8888.00,8888.00,10.00,9997.00,15.00,8,0,7,113.418269020985,3,9
2402771,29,22,1-29-2024-022-06,6,2,1,1,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,4,7,522.262401568166,2,9
2400702,16,25,1-16-2024-025-05,5,2,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,0,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,118.760350648911,5,9
2402474,16,72,1-16-2024-072-03,3,2,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,24.00,32.00,24.00,7,7,7,1,9995.00,9995.00,0,8,9995.00,9995.00,24.00,32.00,24.00,7,5,7,168.955904269261,5,9
2403286,81,74,1-81-2024-074-02,2,1,1,1,1,9995.00,9995.00,7,8,9995.00,253.00,253.00,253.00,253.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,253.00,253.00,253.00,253.00,7,0,7,19.0849903848337,8,9
2401905,73,61,1-73-2024-061-05,5,2,1,1,1,43.00,193.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,0,43.00,193.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,34.7225186472303,3,9
2403180,48,104,1-48-2024-104-06,6,1,1,2,1,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,3,7,86.4307074675267,12,9
2404683,48,150,1-48-2024-150-03,3,2,1,2,1,9995.00,9995.00,7,8,8888.00,8888.00,8888.00,9997.00,8888.00,0,7,7,1,8888.00,8888.00,7,8,8888.00,8888.00,8888.00,9997.00,8888.00,0,3,7,115.82905818263,12,9
2400549,59,21,1-59-2024-021-04,4,1,1,2,1,9997.00,51.00,7,0,31.00,31.00,26.00,9997.00,30.00,0,7,7,0,9995.00,9995.00,1,0,9995.00,9995.00,9995.00,9997.00,9995.00,7,5,7,105.325659634205,6,9
2402209,25,52,1-25-2024-052-03,3,1,1,2,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,0,7,7,1,9997.00,9997.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,3,7,72.4488725969622,2,9
2400206,18,7,1-18-2024-007-06,6,1,1,2,0,36.00,156.00,7,8,9995.00,9995.00,36.00,36.00,36.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,36.00,36.00,36.00,7,0,7,248.39335062653,6,9
2404361,21,93,1-21-2024-093-05,5,1,1,2,1,9995.00,9997.00,7,8,9995.00,2.00,2.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,7,8,9995.00,2.00,2.00,9997.00,9997.00,0,0,7,21.0158628465893,11,9
