CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVNTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
2401028,31,19,1-31-2024-019-10,10,1,1,1,Event 1,2,25395,0,1,9997.0000,1,70.0000,-6.4400,70.0000,-1.6100,70.0000,419.593794787767,6,9
2401431,76,36,1-76-2024-036-10,10,1,1,1,First Record,1,10814,0,1,9997.0000,1,9997.0000,-35.0000,300.0000,997.0000,9997.0000,254.03695808766,3,9
2400960,57,19,1-57-2024-019-NM1,21,2,1,1,"Record 1, Most Recent",1,45232,0,1,0.0000,1,9997.0000,-20.0000,290.0000,16.0000,143.0000,15.0398443849994,1,9
2400746,33,9,1-33-2024-009-03,3,2,1,1,Rollover,1,6631,0,97,0.0565,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,26.4087044256374,12,9
2401758,62,44,1-62-2024-044-06,6,1,1,3,Event Record 3,1,14550,0,3,0.0500,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,1143.6537824324,7,9
2401872,62,48,1-62-2024-048-02,2,1,1,2,Event Record 2,3,1655,0,2,0.3000,1,295.0000,-25.0000,300.0000,24.0000,292.5000,40.5230025519482,7,9
2401070,26,25,1-26-2024-025-07,7,1,1,2,Frontal / Rear Crash Record 2,97,5889,0,1,9997.0000,1,9997.0000,-20.0000,257.5000,1.0000,257.5000,1644.96878847166,10,9
2401593,66,34,1-66-2024-034-03,3,2,1,2,Record 2,2,7579,1,2,0.7100,1,102.0000,-24.0000,102.0000,1.0000,132.0000,79.4686416678806,6,9
2400743,76,20,1-76-2024-020-03,3,2,1,1,Event Record 1,1,13608,0,1,9997.0000,1,117.5000,-34.0000,107.5000,-12.0000,122.5000,71.5495535595937,3,9
2400568,73,16,1-73-2024-016-06,6,1,1,1,Event Record 1,1,9261,0,1,9997.0000,1,9997.0000,-9.6600,62.0000,4.8300,22.0000,37.0946854309253,3,9
2401076,66,21,1-66-2024-021-10,10,2,1,2,Event Record 2,1,21859,1,2,1.1000,1,9997.0000,3.0000,65.0000,0.0000,147.5000,242.389498710963,6,9
2400428,62,15,1-62-2024-015-03,3,1,1,1,Side Crash,2,999997,7,97,0.3300,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,402.933322814975,7,9
2400428,62,15,1-62-2024-015-03,3,2,1,1,Most Recent Event,2,9066,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,402.933322814975,7,9
2400428,62,15,1-62-2024-015-03,3,2,1,4,3rd Prior Event,1,9066,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,402.933322814975,7,9
2400666,20,17,1-20-2024-017-03,3,1,1,9,Rollover,2,7576,0,97,0.2990,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,27.4936400859491,11,9
2401683,32,64,1-32-2024-064-05,5,2,1,1,Event Record 1,1,10390,0,1,9997.0000,1,287.5000,-13.0000,287.5000,-4.0000,102.5000,17.9817909745579,7,9
2400161,62,8,1-62-2024-008-09,9,2,1,2,1st Prior Frontal/Rear Event,97,999997,7,97,9997.0000,7,9997.0000,2.1000,9997.0000,997.0000,9997.0000,3480.57935768494,7,9
2400155,77,5,1-77-2024-005-04,4,1,1,4,3rd Prior Event,97,999997,7,97,9997.0000,1,9997.0000,-13.0000,9997.0000,997.0000,9997.0000,1319.74978076648,9,9
2400155,77,5,1-77-2024-005-04,4,1,1,1,Most Recent Event,95,999997,7,97,9997.0000,1,9997.0000,997.0000,9997.0000,-2.1000,9997.0000,1319.74978076648,9,9
2400276,62,12,1-62-2024-012-04,4,1,1,1,Event Record 1,1,614,0,1,9997.0000,1,92.5000,-22.0000,300.0000,2.0000,112.5000,1242.8687815942,7,9
2400428,62,15,1-62-2024-015-03,3,1,1,4,Side Crash,95,999997,7,97,9995.0000,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,402.933322814975,7,9
2400551,10,8,1-10-2024-008-01,1,2,1,1,First Record,5,308,0,1,9997.0000,1,207.5000,-92.0000,9997.0000,997.0000,9997.0000,78.4498878232952,4,9
2401061,22,28,1-22-2024-028-09,9,1,1,3,2nd Prior Event,97,999997,7,97,9997.0000,1,9997.0000,-7.3000,9997.0000,997.0000,9997.0000,74.8175999070324,12,9
2400524,28,11,1-28-2024-011-10,10,1,1,1,First Record,95,26219,0,3,1.3000,1,9997.0000,-3.3000,300.0000,8.0500,164.0000,80.5683609045318,3,9
2401570,27,49,1-27-2024-049-06,6,2,1,3,2nd Prior Event,97,9324,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,40.7043990647032,3,9
2400777,20,18,1-20-2024-018-06,6,1,1,1,Most Recent Event,1,27701,0,97,9997.0000,1,9997.0000,-21.7000,147.0000,997.0000,9997.0000,220.336429698362,11,9
2400365,52,3,1-52-2024-003-07,7,2,1,1,Event Record 1,97,1912,0,1,9997.0000,1,9997.0000,-4.0000,300.0000,11.0000,300.0000,1615.30739878604,12,9
2401065,22,29,1-22-2024-029-07,7,1,1,2,1st Prior Event,97,7657,0,1,0.0000,1,9997.0000,-4.0000,116.0000,-15.0000,140.0000,113.194619429454,12,9
2400615,28,17,1-28-2024-017-06,6,1,1,2,1st Prior Frontal/Rear Event,97,999997,7,97,9997.0000,1,9997.0000,-3.0000,9997.0000,997.0000,9997.0000,52.5156468300851,3,9
2401182,22,33,1-22-2024-033-10,10,1,1,1,Most Recent Event,1,999997,7,97,9997.0000,1,9997.0000,-4.8000,9997.0000,997.0000,9997.0000,632.984210388483,12,9
2401196,22,36,1-22-2024-036-04,4,1,1,1,Most Recent Event,95,4209,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,36.8082711468397,12,9
2400158,73,6,1-73-2024-006-06,6,1,1,2,1st Prior Event,3,14825,0,2,0.3000,1,9997.0000,-25.0000,120.0000,-14.0000,106.0000,61.3505113045855,3,9
2400980,54,27,1-54-2024-027-08,8,1,1,2,Event Record 2,95,10234,0,1,9997.0000,1,9997.0000,-25.0000,277.5000,14.0000,250.0000,161.994257211147,9,9
2400201,19,6,1-19-2024-006-05,5,1,1,1,Most Recent Event,2,5655,0,2,0.3000,1,9997.0000,28.0000,172.0000,997.0000,9997.0000,49.1552833588875,9,9
2400072,62,5,1-62-2024-005-06,6,3,1,1,Event Record 1,2,15666,0,1,9997.0000,1,9997.0000,-14.0000,127.5000,12.0000,80.0000,2580.51563805831,7,9
2400316,17,11,1-17-2024-011-07,7,2,1,1,Most Recent Event,1,5551,0,1,0.0000,1,9997.0000,-20.0000,124.0000,-12.0000,78.0000,794.522848000315,4,9
2401109,18,42,1-18-2024-042-03,3,1,1,1,Event Record 1,1,4122,0,1,9997.0000,1,67.5000,-5.0000,225.0000,-14.0000,67.5000,34.6070615401308,6,9
2400522,17,17,1-17-2024-017-04,4,1,1,4,3rd Prior Event,97,999997,7,97,9997.0000,1,9997.0000,997.0000,9997.0000,3.7000,9997.0000,95.7997808721022,4,9
2400522,17,17,1-17-2024-017-04,4,1,1,1,Most Recent Event,1,999997,7,97,9997.0000,1,9997.0000,997.0000,9997.0000,6.8000,9997.0000,95.7997808721022,4,9
2400494,24,10,1-24-2024-010-03,3,2,1,1,Event Record 1,1,5433,0,1,9997.0000,1,187.5000,-15.0000,187.5000,3.0000,155.0000,57.0773068448119,1,9
2401149,33,18,1-33-2024-018-03,3,1,1,2,Frontal / Rear Crash Record 2,1,5506,0,1,9997.0000,1,9997.0000,-4.0000,57.5000,-1.0000,35.0000,27.3329411219541,12,9
2400146,22,3,1-22-2024-003-06,6,2,1,1,Most Recent Event,1,26867,0,1,0.0000,1,9997.0000,-9.0000,96.0000,9.0000,94.0000,264.995949253924,12,9
2400334,77,11,1-77-2024-011-06,6,2,1,3,2nd Prior Event,95,7383,0,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,329.081744532079,9,9
2401120,33,17,1-33-2024-017-07,7,1,1,1,"Record 1, Most Recent",1,55348,0,1,0.0000,1,9997.0000,-18.0000,298.0000,-4.0000,295.0000,616.947043508982,12,9
2400463,17,13,1-17-2024-013-03,3,1,1,3,Side Crash,2,999997,7,97,0.3910,7,9997.0000,997.0000,9997.0000,997.0000,9997.0000,60.1064786597745,4,9
2400499,52,5,1-52-2024-005-09,9,2,1,1,Most Recent Event,2,999997,7,97,9997.0000,1,9997.0000,-6.1000,9997.0000,997.0000,9997.0000,203.384126194142,12,9
2400499,52,5,1-52-2024-005-09,9,2,1,4,3rd Prior Event,99,999997,7,97,9997.0000,1,9997.0000,997.0000,9997.0000,16.3000,9997.0000,203.384126194142,12,9
2404240,22,127,1-22-2024-127-05,5,1,1,2,Second Record,2,9840,1,2,0.6390,1,9997.0000,-10.0000,130.0000,997.0000,9997.0000,25.2675524846257,12,9
2404487,22,132,1-22-2024-132-10,10,1,1,3,2nd Prior Event,97,999997,7,97,9997.0000,1,9997.0000,997.0000,9997.0000,997.0000,9997.0000,375.401816158302,12,9
2404489,22,134,1-22-2024-134-09,9,2,1,1,Most Recent Frontal/Rear Event,1,999997,7,97,9997.0000,1,9997.0000,-16.1000,9997.0000,997.0000,9997.0000,44.9069105417859,12,9
2405123,22,157,1-22-2024-157-07,7,1,1,2,Frontal / Rear Crash Record 2,95,13666,0,1,9997.0000,1,9997.0000,-9.0000,107.5000,-3.0000,80.0000,360.833938794002,12,9
2405369,22,164,1-22-2024-164-08,8,1,1,3,Prior Frontal/Rear Event,97,999997,7,97,9997.0000,1,9997.0000,1.4000,9997.0000,997.0000,9997.0000,29.5597025273187,12,9
2401746,59,56,1-59-2024-056-08,8,1,1,3,Side Event,99,999997,7,97,9997.0000,7,9997.0000,997.0000,9997.0000,0.4000,9997.0000,76.1156511324638,6,9
