CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,TRAJCLASS,TRAJTYPE,TRAJCONF,EVIDSPEED,EVIDBRAKE,EVIDSTEERING,EVIDFRP,EVIDSTATURE,EVIDVEHPROFILE,EVIDCORNER,EVIDINITORIENT,EVIDAVOID,EVIDVIDEO,EVIDWITNESS,EVIDEXPERIMENT,EVIDSIM,EVIDOTHER,CASEWGT,PSUSTRAT,VERSION
2406065,79,118,1-79-2024-118-NM1,21,1,2,3,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,131.970085856043,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.1071357763572,8,9
2402080,11,53,1-11-2024-053-NM1,21,1,2,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.1071357763572,8,9
2401084,77,37,1-77-2024-037-NM2,22,1,1,6,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,297.636915073691,9,9
2401084,77,37,1-77-2024-037-NM2,22,1,2,7,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,297.636915073691,9,9
2405993,29,104,1-29-2024-104-NM1,21,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.066249775962,2,9
2400111,16,3,1-16-2024-003-NM2,22,1,1,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1277.06637139415,5,9
2404706,11,142,1-11-2024-142-NM1,21,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.1071357763572,8,9
2404706,11,142,1-11-2024-142-NM1,21,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1071357763572,8,9
2404374,29,60,1-29-2024-060-NM1,21,1,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,40.3751173333703,2,9
2404374,29,60,1-29-2024-060-NM1,21,1,2,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,40.3751173333703,2,9
2400684,59,25,1-59-2024-025-NM2,22,1,1,2,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,264.2527724963,6,9
2400678,11,18,1-11-2024-018-NM1,21,1,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,37.1071357763572,8,9
2400678,11,18,1-11-2024-018-NM1,21,1,2,3,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,37.1071357763572,8,9
2402593,57,54,1-57-2024-054-NM2,22,1,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,570.311860030331,1,9
2402593,57,54,1-57-2024-054-NM2,22,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.311860030331,1,9
2404906,77,155,1-77-2024-155-NM1,21,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,113.21347390618,9,9
2404906,77,155,1-77-2024-155-NM1,21,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.21347390618,9,9
2400730,32,22,1-32-2024-022-NM1,21,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.9241646727683,7,9
2401812,24,43,1-24-2024-043-NM1,21,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.1726143074507,1,9
2402304,30,78,1-30-2024-078-NM1,21,1,1,3,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,42.5560416047343,10,9
2402304,30,78,1-30-2024-078-NM1,21,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,42.5560416047343,10,9
2405547,30,189,1-30-2024-189-NM1,21,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3381262919494,10,9
2405547,30,189,1-30-2024-189-NM1,21,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3381262919494,10,9
2405547,30,189,1-30-2024-189-NM1,21,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3381262919494,10,9
2405547,30,189,1-30-2024-189-NM1,21,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3381262919494,10,9
2404179,60,59,1-60-2024-059-NM1,21,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.22330010499,8,9
2404179,60,59,1-60-2024-059-NM1,21,1,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43.22330010499,8,9
2400884,14,13,1-14-2024-013-NM2,22,1,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,678.185114701579,8,9
2400884,14,13,1-14-2024-013-NM2,22,1,2,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,678.185114701579,8,9
2402307,30,81,1-30-2024-081-NM1,21,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,70.0679338170937,10,9
2402307,30,81,1-30-2024-081-NM1,21,1,2,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,70.0679338170937,10,9
2406194,82,169,1-82-2024-169-NM2,22,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,291.351098901355,1,9
2406194,82,169,1-82-2024-169-NM2,22,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,291.351098901355,1,9
2406243,67,57,1-67-2024-057-NM2,22,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,280.830811465838,7,9
2406243,67,57,1-67-2024-057-NM2,22,1,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,280.830811465838,7,9
2400118,69,3,1-69-2024-003-NM1,21,1,2,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7.66811372485411,8,9
2402288,81,46,1-81-2024-046-NM2,22,1,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2408.08347527868,8,9
