CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SPEEDPRE,SPEEDPREACC,VEHHDG,CONTPLANE,SPEEDIMP,SPEEDIMPACC,SPEEDIMPSRC,FRPDISTANCE,DRIFATIGUE,VEHLIGHTS,LIGHTSBEAM,PROPULSION,HOODMAT,HOODOEM,HOODLENGTH,HOODWIDTHFORW,HOODWIDTHMID,HOODWIDTHREAR,HOODDEPAVAIL,HOODDEPACT,HOODBAGAVAIL,HOODBAGDEPLY,FRNTCONTACT,FRNTCRUSH,FRNTWSCONTACT,FRNTBUMPCOVER,FRNTBUMPREINF,FRNTEAD,FRNTBUMPBTMHT,FRNTBUMPTOPHT,FRNTBUMPLEAD,FRNTGRHOODFORW,FRNTGRTRANS,FRNTGRHOODREAR,FRNTGRWSBASE,FRNTGRWSTOP,FRNTGRHEADCONT,FRNTPROFILE,SIDECONTACT,SIDEGRNDCLEAR,SIDEBUMPBTMHT,SIDEBUMPTOPHT,SIDEWHEELCNTR,SIDEWHEELTOP,SIDEWHEELWELL,SIDEAPILLBTM,SIDEAPILLTOP,SIDEMIRRORTOP,SIDEAPILLWSBTM,SIDEAPILLWSTOP,SIDEMIRRORCNTR,SIDEGRTRANS,SIDEGRTOHOOD,SIDEGRTOHOODCNTR,SIDEGRHEADCONT,VISIONOBSCUREDBY,DISTRACTEDBY,DRIRELATEDFACT,ROADWAYRELFACT,WEATHERRELFACT,OTHERENVFACT,TRAFINTERRUPTIONFACT,DRILLNESS,DETECTDIST,DETECTDISTACC,CALCREVEAL,CALCREVEALACC,CASEWGT,PSUSTRAT,VERSION
2402702,20,77,1-20-2024-077-NM2,22,1,60,4,260,2,60,4,3,999.9,2,0,0,1,9,3,999,999,999,999,0,0,0,0,2,0,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,41,21,81,39,79,91,133,117,146,85,68,117,135,138,165,142,1,0,1,1,0,1,0,0,105,5,8.6,10,87.941289186377,11,9
2402696,17,89,1-17-2024-089-NM2,22,1,24,3,75,3,24,3,1,999.9,9,99,99,1,9,9,999,999,999,999,9,9,9,9,2,0,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,9,0,9,0,0,0,0,0,45,5,6.5,2,75.2169154133713,4,9
2405111,15,197,1-15-2024-197-NM2,22,1,999,9,190,1,999,9,0,999.9,9,99,99,1,9,9,999,999,999,999,0,0,0,0,1,9,9,9,9,9,999,999,999,999,999,999,999,999,999,9,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0,9,1,0,0,0,0,0,999,9,99,99,69.3276767334112,1,9
2405105,27,160,1-27-2024-160-NM2,22,1,11,2,265,3,11,2,3,2.6,2,3,1,1,3,1,90,100,135,130,0,0,0,0,2,0,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,20,30,55,28,58,66,115,164,125,68,58,95,78,95,166,889,1,0,1,1,0,1,0,0,999,9,99,99,35.0197990149152,3,9
2405106,27,161,1-27-2024-161-NM2,22,1,999,9,100,3,999,9,0,45,9,99,99,1,9,9,999,999,999,999,0,0,0,0,2,0,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,889,1,9,1,0,0,0,0,9,888,8,88,88,35.0197990231484,3,9
2405121,22,155,1-22-2024-155-NM2,22,1,16,2,250,2,16,2,1,2,2,0,0,1,9,9,999,999,999,999,0,0,0,0,2,2,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,38,30,45,34,71,83,116,161,132,88,62,110,113,113,192,889,0,0,0,0,0,0,0,0,888,8,88,88,64.1408737687855,12,9
2405120,22,154,1-22-2024-154-NM2,22,1,51,4,260,1,51,4,1,999.9,2,99,99,1,9,9,999,999,999,999,0,0,0,0,9,9,9,9,9,9,999,999,999,999,999,999,999,999,999,3,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,9,9,0,1,0,0,9,40,5,2.6,3,64.1408737687855,12,9
2405042,18,126,1-18-2024-126-NM2,22,1,2,2,90,1,2,2,2,0.5,2,3,1,9,9,9,999,999,999,999,9,9,9,9,1,0,0,9,9,9,999,999,999,999,999,999,999,999,999,9,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,0,0,0,0,0,0,888,8,88,88,352.555780341459,6,9
2405134,81,130,1-81-2024-130-NM1,21,1,999,9,60,2,999,9,0,999.9,9,99,99,9,9,9,999,999,999,999,9,9,9,9,2,0,0,0,0,0,888,888,888,888,888,888,888,888,888,8,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,889,1,0,1,1,0,0,0,0,999,9,99,99,32.358742659987,8,9
2402542,16,78,1-16-2024-078-NM1,21,1,47,1,100,1,47,1,3,3,2,3,1,1,4,1,89,99,160,162,0,0,0,0,1,0,2,1,1,1,45,58,2,89,89,180,182,283,889,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,0,0,0,0,0,0,1,0,0.4,0,21.9314980825962,5,9
2402543,25,60,1-25-2024-060-NM1,21,1,60,4,0,1,60,3,1,999.9,2,3,1,1,3,1,94,104,154,144,0,0,0,0,1,2,2,1,1,1,44,52,0,84,72,178,184,273,214,1,2,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,889,0,0,0,1,0,0,0,0,22,4,1.2,2,46.3961698932894,2,9
